"CHOSEN ORF136 = ""type 1 membrane protein""";CyHV3_ORF136;231446;P30;1;0,902;sv;12;INS
"CHOSEN ORF136 = ""type 1 membrane protein""";CyHV3_ORF136;231446;P50;10;0,941;sv;12;INS
"CHOSEN ORF136 = ""type 1 membrane protein""";CyHV3_ORF136;231446;P50;1;0,969;sv;12;INS
"CHOSEN ORF136 = ""type 1 membrane protein""";CyHV3_ORF136;231446;P50;3;0,957;sv;12;INS
"CHOSEN ORF136 = ""type 1 membrane protein""";CyHV3_ORF136;231446;P50;7;0,904;sv;12;INS
"CHOSEN ORF136 = ""type 1 membrane protein""";CyHV3_ORF136;231446;P50;9;0,938;sv;12;INS
"CHOSEN ORF136 = ""type 1 membrane protein""";CyHV3_ORF136;231446;P65;1;1;sv;12;INS
"CHOSEN ORF136 = ""type 1 membrane protein""";CyHV3_ORF136;231446;P65;2;1;sv;12;INS
"CHOSEN ORF136 = ""type 1 membrane protein""";CyHV3_ORF136;231446;P65;3;1;sv;12;INS
"CHOSEN ORF136 = ""type 1 membrane protein""";CyHV3_ORF136;231446;P90;10;1;sv;12;INS
"CHOSEN ORF136 = ""type 1 membrane protein""";CyHV3_ORF136;231446;P90;1;1;sv;12;INS
"CHOSEN ORF136 = ""type 1 membrane protein""";CyHV3_ORF136;231446;P90;2;1;sv;12;INS
"CHOSEN ORF136 = ""type 1 membrane protein""";CyHV3_ORF136;231446;P90;3;1;sv;12;INS
"CHOSEN ORF136 = ""type 1 membrane protein""";CyHV3_ORF136;231446;P90;4;1;sv;12;INS
"CHOSEN ORF136 = ""type 1 membrane protein""";CyHV3_ORF136;231446;P90;5;1;sv;12;INS
"CHOSEN ORF136 = ""type 1 membrane protein""";CyHV3_ORF136;231446;P90;6;1;sv;12;INS
"CHOSEN ORF136 = ""type 1 membrane protein""";CyHV3_ORF136;231446;P90;7;1;sv;12;INS
"CHOSEN ORF136 = ""type 1 membrane protein""";CyHV3_ORF136;231446;P90;8;1;sv;12;INS
"CHOSEN ORF136 = ""type 1 membrane protein""";CyHV3_ORF136;231446;P90;9;0,965;sv;12;INS
